"sgID","gene_TSS","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM81__all__primarysecondary__RVS__32","TMEM81__ENST00000367167.3",2156.96350907557,-0.0894214162186911,0.113558297914453,-0.787449423432317,0.431018824408247,0.608188517979036
"TMEM81__all__primarysecondary__FWD__33","TMEM81__ENST00000367167.3",2014.20747475468,0.0180101274416029,0.127425198557575,0.141338821877254,0.887602282006544,0.939614397799209
"TMEM81__all__primarysecondary__RVS__37","TMEM81__ENST00000367167.3",2515.81567859395,-0.0418334956080982,0.0771563182487628,-0.542191444039892,0.587686628799307,0.737980758223795
"TMEM81__all__primarysecondary__FWD__203","TMEM81__ENST00000367167.3",2999.11995220904,0.256901124477254,0.110500881679116,2.32487850389529,0.0200784577142072,0.0578285859746188
"TMEM86A__P1P2__primary__RVS__36","TMEM86A__P1P2",1586.45726568717,-0.563684741259629,0.198968593366961,-2.83303375533252,0.00461085167415744,0.0159453131288809
"TMEM86A_-_18720818.23-P1P2","TMEM86A__P1P2",419.944544408325,-2.72182642675268,0.518484350422114,-5.24958260463745,1.52444229134995e-07,1.10819629933495e-06
"TMEM86A_+_18720359.23-P1P2","TMEM86A__P1P2",3254.71769618607,0.0720414236723869,0.0763487962428018,0.943582966826134,0.345382799788097,0.524438082224894
"TMEM86A_+_18720777.23-P1P2","TMEM86A__P1P2",2392.71611253389,0.0142772280563103,0.106542366862654,0.134005170682152,0.893398485702981,0.942800839733054
"TMEM86A__P1P2__primary__RVS__41","TMEM86A__P1P2",2745.38818930885,0.113202814895555,0.116939733549491,0.968044063890788,0.333022363682279,0.512542024514945
"TMEM86A__P1P2__primary__FWD__47","TMEM86A__P1P2",1738.12854409291,0.0332585023312007,0.143283466455583,0.232116818178117,0.816447282556765,0.899699446568471
"TMEM86A_-_18720764.23-P1P2","TMEM86A__P1P2",1649.44014411534,0.732201747603508,0.283891717046041,2.57915854404713,0.00990413190191591,0.0315466148704775
"TMEM86A_-_18720795.23-P1P2","TMEM86A__P1P2",2328.73645642225,-0.0266877919413529,0.131431651944806,-0.203054527174019,0.839092413312737,0.914763773711691
"TMSB10_-_85132851.23-P1P2","TMSB10__P1P2",2899.61826611205,0.104969784914692,0.102159289017158,1.02751091872871,0.304179946716703,0.483882012541031
"TMSB10__P1P2__primary__FWD__37","TMSB10__P1P2",2526.49570074702,0.0188413944908582,0.0680416351176561,0.276909784109069,0.781849379630681,0.877940458475606
"TMSB10__P1P2__primary__FWD__47","TMSB10__P1P2",2230.79841560751,-0.0890018661543688,0.0931292503113105,-0.9556811190561,0.339233364388568,0.518515653887056
"TMSB10_-_85132822.23-P1P2","TMSB10__P1P2",2085.6580665968,0.0280055145790333,0.110387062001207,0.253702871254305,0.799725115681553,0.888552873797416
"TMSB10_-_85132842.23-P1P2","TMSB10__P1P2",2652.81971186846,-0.0335181176098077,0.101124544991402,-0.33145382866897,0.740301711067654,0.852257932263476
"TMSB10__P1P2__primary__FWD__60","TMSB10__P1P2",3404.34854771666,-0.0509929808716195,0.0688201068872388,-0.740960500906677,0.458717390128448,0.634446577433761
"TMSB10_+_85133250.23-P1P2","TMSB10__P1P2",1649.25261084961,-1.47978210320994,0.156091991542923,-9.48019234416019,2.5381478391702e-21,1.48950821373849e-19
"TMSB10_-_85132984.23-P1P2","TMSB10__P1P2",841.722711739041,-1.81653906785913,0.356577560672643,-5.0943729168836,3.4989744363672e-07,2.40117430668629e-06
"TMTC2_+_83080989.23-P1P2","TMTC2__P1P2",1769.81352007493,0.0662311302116668,0.2835627507042,0.233567808349962,0.815320521727644,0.89927652487627
"TMTC2__P1P2__secondary__FWD__5","TMTC2__P1P2",2592.33574437854,0.0910914225931022,0.0961509519336284,0.947379310981563,0.343445529661362,0.52231554322459
"TMTC2_+_83081323.23-P1P2","TMTC2__P1P2",1902.72257336892,0.112188247110976,0.201990958735478,0.555412221484103,0.57861273503901,0.731997271150082
"TMTC2__P1P2__secondary__FWD__7","TMTC2__P1P2",2412.49425182416,0.206687712938242,0.098209299323527,2.1045635633481,0.0353293161408961,0.0938014171078413
"TMTC2__P1P2__primary__RVS__16","TMTC2__P1P2",2114.98407154794,0.124422736867645,0.176318046208808,0.705672161999202,0.480392036690465,0.652637810975213
"TMTC2__P1P2__secondary__RVS__44","TMTC2__P1P2",2918.15003037983,0.105610255336542,0.0652061286711812,1.61963694960499,0.105310287481168,0.225103645404006
"TMTC2__P1P2__secondary__FWD__8","TMTC2__P1P2",2400.77954522786,-0.099076573367142,0.0938894821075406,-1.05524677677591,0.291312475800808,0.469035368004527
"TMTC2__P1P2__secondary__FWD__6","TMTC2__P1P2",2641.65917858209,0.16034942499343,0.0819532746856836,1.95659570173883,0.0503950207733897,0.125153882059177
"TMX2_-_57480102.23-P1P2","TMX2__P1P2",2790.53698359171,-0.0214107267026017,0.0804501502333954,-0.2661365658173,0.79013403470332,0.882147798689294
"TMX2_+_57480105.23-P1P2","TMX2__P1P2",2719.98733557642,0.177443375436395,0.248834344576308,0.713098409861905,0.475784863414186,0.648876736963318
"TMX2__P1P2__primary__FWD__-10","TMX2__P1P2",2918.18957072396,0.0666224714037998,0.0946749388443627,0.703697010180501,0.481621482674234,0.653339985533007
"TMX2__P1P2__primary__FWD__-9","TMX2__P1P2",2798.52425189557,0.101064811602156,0.0947077968720115,1.06712240111271,0.285916567486601,0.463300512902344
"TMX2__P1P2__primary__RVS__35","TMX2__P1P2",2379.21315788054,0.166323044017883,0.104373759663443,1.59353313087694,0.111040642033684,0.234198766458758
